simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.257360239432590809e-08,2.594490773681045418e-08,1.534030869535224661e-09,4.989860884817195681e-11,2.186778597576763589e-12,1.322612051374396663e-12
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+00,1.081761006289308158e+00,2.256406034761680130e-08,2.591783411391232021e-08,1.539451728685049744e-09,6.754883135385268522e-11,5.341195200998557609e-12,3.149114556572259654e-12
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+00,2.163522012578616316e+00,2.255646722746104338e-08,2.589751538314767309e-08,1.550450627479921339e-09,9.106030106429097755e-11,9.406565419716143275e-12,5.418912176441054875e-12
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,3.000000000000000000e+00,3.245283018867924696e+00,2.255081908503534796e-08,2.588393009387630045e-08,1.566978269942495487e-09,1.203233457831685711e-10,1.432892722375433146e-11,8.078300069471352243e-12
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,4.000000000000000000e+00,4.327044025157232632e+00,2.254711119368949440e-08,2.587705380673352943e-08,1.588983201479296734e-09,1.552274159458218132e-10,2.005693555717814392e-11,1.107967328828727527e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,5.000000000000000000e+00,5.408805031446540568e+00,2.254533824442982251e-08,2.587685913930998559e-08,1.616411878480899870e-09,1.956611599832835041e-10,2.654172227773827420e-11,1.438080665683666561e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,6.000000000000000000e+00,6.490566037735849392e+00,2.254549471870672421e-08,2.588331575125974458e-08,1.649208707752988244e-09,2.415124674399761632e-10,3.373675868601731730e-11,1.794421711089337372e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,7.000000000000000000e+00,7.572327044025157328e+00,2.254757549500201905e-08,2.589639029252486418e-08,1.687316081130025323e-09,2.926685083857971158e-10,4.159772545525807141e-11,2.173660167959915435e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,8.000000000000000000e+00,8.654088050314465264e+00,2.255157662421282697e-08,2.591604632734911077e-08,1.730674408481266183e-09,3.490157721103011896e-10,5.008239005223164105e-11,2.572834241077930154e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,9.000000000000000000e+00,9.735849056603774088e+00,2.255749602583249389e-08,2.594224426974270107e-08,1.779222151111944618e-09,4.104401051851052197e-10,5.915049122420306865e-11,2.989307027020068085e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.000000000000000000e+01,1.081761006289308114e+01,2.256533369384266213e-08,2.597494138922983099e-08,1.832895858679889962e-09,4.768267488311832423e-10,6.876363012056969613e-11,3.420728097545380124e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.100000000000000000e+01,1.189937106918238996e+01,2.257509098889286809e-08,2.601409194758155474e-08,1.891630212963830648e-09,5.480603756830067367e-10,7.888516766917557722e-11,3.864999657955117271e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.200000000000000000e+01,1.298113207547169878e+01,2.258676882142506125e-08,2.605964749456945494e-08,1.955358080118120032e-09,6.240251261399137814e-10,8.948012787276506250e-11,4.320246737012895661e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.300000000000000000e+01,1.406289308176100583e+01,2.260036496014309405e-08,2.611155728912425775e-08,2.024010569714757704e-09,7.046046445068115911e-10,1.005151067245175832e-10,4.784790930588041388e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.400000000000000000e+01,1.514465408805031466e+01,2.261587115083017495e-08,2.616976874762011567e-08,2.097517095341119767e-09,7.896821150744094649e-10,1.119581864627819037e-10,5.257127278330864919e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.500000000000000000e+01,1.622641509433962170e+01,2.263327096662189440e-08,2.623422778710279677e-08,2.175805429644206734e-09,8.791402982025397532e-10,1.237788548931832234e-10,5.735903902320371890e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.600000000000000000e+01,1.730817610062893053e+01,2.265253918114251189e-08,2.630487894983608912e-08,2.258801747681365837e-09,9.728615663801563645e-10,1.359479295031580108e-10,6.219904079707082860e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.700000000000000000e+01,1.838993710691823935e+01,2.267364298948034422e-08,2.638166526238395348e-08,2.346430656036016683e-09,1.070727940171286986e-09,1.484374860860655218e-10,6.708030459027211433e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.800000000000000000e+01,1.947169811320754818e+01,2.269654479692979855e-08,2.646452786918173767e-08,2.438615209848297107e-09,1.172621123935641039e-09,1.612207915881694995e-10,7.199291163246358420e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,1.900000000000000000e+01,2.055345911949685345e+01,2.272120580998427334e-08,2.655340555019853891e-08,2.535276923687827480e-09,1.278422541237461327e-09,1.742722408991783454e-10,7.692787552654411377e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.000000000000000000e+01,2.163522012578616227e+01,2.274758948280007563e-08,2.664823425845889207e-08,2.636335783623251505e-09,1.388013369912800239e-09,1.875672973278140179e-10,8.187703448040808170e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.100000000000000000e+01,2.271698113207547109e+01,2.277566402708682692e-08,2.674894679137226774e-08,2.741710266671113988e-09,1.501274576831404075e-09,2.010824365343694574e-10,8.683295639285441274e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.200000000000000000e+01,2.379874213836477992e+01,2.280540357321866878e-08,2.685547265591680692e-08,2.851317370892575550e-09,1.618086952443076081e-09,2.147950937250768259e-10,9.178885526509897080e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.300000000000000000e+01,2.488050314465408874e+01,2.283678799818283957e-08,2.696773812704314604e-08,2.965072656119519390e-09,1.738331145225962341e-09,2.286836139409613646e-10,9.673851760133084705e-11
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.400000000000000000e+01,2.596226415094339757e+01,2.286980175784190165e-08,2.708566645308532300e-08,3.082890292818099440e-09,1.861887696152951054e-09,2.427272052922336632e-10,1.016762376261535809e-10
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.500000000000000000e+01,2.704402515723270284e+01,2.290443220203405031e-08,2.720917814196723785e-08,3.204683115508637558e-09,1.988637073268846396e-09,2.569058949977813562e-10,1.065967602862790314e-10
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.600000000000000000e+01,2.812578616352201166e+01,2.294066782166747344e-08,2.733819126585159818e-08,3.330362677366663501e-09,2.118459706436483477e-09,2.712004880907478930e-10,1.114952311227980213e-10
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.700000000000000000e+01,2.920754716981132049e+01,2.297849674199486802e-08,2.747262174018358456e-08,3.459839303624489241e-09,2.251236022275301130e-09,2.855925286495876798e-10,1.163671522033820429e-10
1.020000000000000000e+02,5.990000000000000000e+02,5.990000000000000568e+01,2.800000000000000000e+01,3.028930817610062931e+01,2.301790561283451890e-08,2.761238355484983110e-08,3.593022142581551371e-09,2.386846479288020333e-09,3.000642634128728120e-10,1.212083433947729755e-10
