metric,baseline_abs_error,analytic_abs_error,analytic_over_baseline_error
power_W,80.1233071256429,2.7865571286529303,0.03477835886483413
phi_mid,7.279066675282275e-08,2.5315398770320297e-09,0.03477835813248487
fuel_mid_K,0.038584019126915337,0.03857239224475961,0.9996986606782078
graphite_mid_K,6.254309255382395e-06,6.606988790736068e-06,1.0563898459370489
Ts_core_outlet_K,5.3361436584964395e-06,2.9859980941182585e-06,0.5595797799341146
Ts_HX1_0_K,0.000728411101022175,0.000728411101022175,1.0
Tss_HX1_L_K,0.0095417928405368,0.0095417928405368,1.0
Tss_HX2_0_K,0.0020193515215396474,0.0020193515215396474,1.0
Tsss_HX2_L_K,0.005959324120453857,0.005959324120453857,1.0
Tsss_pp_0_K,0.32155460996398233,0.32155460996398233,1.0
