metric,value,reference,abs_error,rel_error
power_W,9853132.097163806,9853134.883713465,2.786549659445882,2.828084353185757e-07
phi_mid,0.00895140397268176,0.008951406504214852,2.531533092528515e-09,2.8280841578767753e-07
fuel_mid_K,861.5936346742412,861.6322070664847,0.03857239224350906,4.476665557202501e-05
graphite_mid_K,1527.5253190084636,1527.525312401473,6.606990609725472e-06,4.325290426342202e-09
Ts_core_outlet_K,874.0664600902046,874.0664630762025,2.985997866744583e-06,3.416213746762023e-09
Ts_HX1_0_K,848.590379970532,848.591108381633,0.000728411101022175,8.583770131781654e-07
Tss_HX1_L_K,873.1998505670691,873.2093923599097,0.0095417928405368,1.0927267759625713e-05
Tss_HX2_0_K,829.1621068378353,829.1641261893568,0.0020193515215396474,2.435406281769704e-06
Tsss_HX2_L_K,872.0614210681749,872.0673803922954,0.005959324120453857,6.8335592575118264e-06
Tsss_pp_0_K,831.3997415321055,831.0781869221415,0.32155460996398233,0.0003869125853908457
