metric,reference,value,abs_error,rel_error
phi_mid,0.01285944086646356,0.013708174299345822,0.0008487334328822621,0.06600080374378439
rho,5e-05,4.999999873689376e-05,1.2631062442183295e-12,2.526212488436659e-08
power,13746219.11639511,15010199.932701878,1263980.816306768,0.09195116166882707
fuel_mid,917.1150200629922,911.5042114257812,5.610808637210994,0.006117889811493453
graphite_mid,1681.160095257653,1706.278076171875,25.117980914222017,0.014940861958998889
core_inlet,899.528076954023,893.8546752929688,5.673401661054299,0.00630708680074283
core_outlet,932.6397508494787,927.7381591796875,4.9015916697911734,0.005255610931580649
hx1_hot_outlet,899.678355856148,894.0817260742188,5.5966297819292095,0.006220700704312675
hx1_cold_outlet,931.6711693507572,926.9218139648438,4.749355385913418,0.0050976734519144196
hx2_hot_outlet,862.4430812227264,859.7765502929688,2.6665309297576414,0.0030918341022310412
hx2_cold_outlet,929.1038832176436,924.9961547851562,4.107728432487306,0.004421172386301464
brayton_return,883.3787380028414,879.4603271484375,3.9184108544038736,0.0044357088141635465
