z,phi,C1,C2,C3,C4,C5,C6,fuel_temp,graphite_temp
0,0.0006641662411118801,1.155772372205025e-07,1.394311369964767e-07,8.342717051568416e-09,4.527981264152951e-10,4.328178443294357e-11,2.472262135956628e-11,881.0424178405581,943.3036164340713
2.177215189873418,0.0009956688306531696,1.155409316874836e-07,1.393422028681355e-07,8.568867206992096e-09,8.182420887513174e-10,1.034349707396684e-10,5.650137014256959e-11,881.1072252580817,966.2834652472562
4.354430379746836,0.00132541569106766,1.15545102735248e-07,1.393929998085734e-07,8.907789311350139e-09,1.297417730737301e-09,1.785022129293619e-10,9.376429799359608e-11,881.1922288963002,992.2207536042961
6.531645569620253,0.001652912442316525,1.155894175923316e-07,1.395820685981751e-07,9.357012867315051e-09,1.885580768522385e-09,2.667036851614727e-10,1.352546807793578e-10,881.297392962969,1018.184054576387
8.708860759493671,0.001977676907386888,1.156734752246708e-07,1.399077224678303e-07,9.913910541677e-09,2.577938582591208e-09,3.664186670821753e-10,1.799641663737652e-10,881.422557653431,1043.954834013946
10.88607594936709,0.002299238599711631,1.157968094089022e-07,1.403680544797497e-07,1.05757056308918e-08,3.369657431825298e-09,4.761690633377267e-10,2.270801816323102e-10,881.5675292941643,1069.481263006153
13.06329113924051,0.002617138440196844,1.159588924974138e-07,1.409609448892453e-07,1.133947921102624e-08,4.255869192443095e-09,5.946046893793859e-10,2.759445683627659e-10,881.7320823430578,1094.721502372032
15.24050632911392,0.002930928620390415,1.161591387674597e-07,1.41684068255629e-07,1.220217709892927e-08,5.23167778045477e-09,7.204901543471154e-10,3.260210599284135e-10,881.9159544657017,1119.635190082437
17.41772151898734,0.003240172553416941,1.163969061761279e-07,1.425348999972334e-07,1.316061670515717e-08,6.292165363456712e-09,8.526931822815102e-10,3.768697164521832e-10,882.1188426878555,1144.183039864397
19.59493670886076,0.00354444487252314,1.166714965546886e-07,1.43510722464223e-07,1.421149383664086e-08,7.43239843009986e-09,9.901742245274365e-10,4.28126835914977e-10,882.3404045856855,1168.326839196432
21.77215189873418,0.003843331450314067,1.169821552002596e-07,1.446086308907905e-07,1.535138949123865e-08,8.647433759137275e-09,1.131977228202411e-09,4.794891732911878e-10,882.5802643943688,1192.029471296575
23.94936708860759,0.004136429421374424,1.173280710965467e-07,1.458255396654348e-07,1.65767766725879e-08,9.932324311530512e-09,1.277221437507868e-09,5.30701548050047e-10,882.8380209304793,1215.254941942183
26.12658227848101,0.004423347197944051,1.177083782623718e-07,1.471581890952069e-07,1.788402723635658e-08,1.12821250564399e-08,1.425094116142447e-09,5.815471159451993e-10,883.1132533525179,1237.968408075275
28.30379746835443,0.004703704473360068,1.18122158107022e-07,1.486031526220957e-07,1.926941876663278e-08,1.26918987334586e-08,1.574844089938981e-09,6.318397351303699e-10,883.4055231439221,1260.136206490961
30.48101265822785,0.004977132211602562,1.185684422686629e-07,1.501568443070207e-07,2.072914147294901e-08,1.415672154800041e-08,1.7257760189837e-09,6.814179780495448e-10,883.7143728008004,1281.725881490494
32.65822784810127,0.005243272623856794,1.190462154954698e-07,1.518155264231789e-07,2.225930509627211e-08,1.567168879347243e-08,1.877245317838746e-09,7.301404361792863e-10,884.0393231264743,1302.706210790569
34.83544303797468,0.005501779134800554,1.195544182919684e-07,1.535753170536375e-07,2.385594581187441e-08,1.723192039212101e-08,2.028653651068784e-09,7.778820400105776e-10,884.3798708483985,1323.047229276118
37.0126582278481,0.005752316342536421,1.200919492854199e-07,1.554321976664402e-07,2.551503311820377e-08,1.883256634577823e-08,2.179444939086112e-09,8.245311759556053e-10,884.7354876809854,1342.720250395181
39.18987341772152,0.005994559976856655,1.206576673764993e-07,1.573820206771503e-07,2.723247670165167e-08,2.046881208781701e-08,2.329101816409472e-09,8.699874285474978e-10,885.1056210241743,1361.697885144761
41.36708860759494,0.006228196860958035,1.21250393784068e-07,1.594205170245925e-07,2.900413326790835e-08,2.21358837282008e-08,2.477142490822183e-09,9.141598130455638e-10,885.4896959037145,1379.954058701064
43.54430379746836,0.006452924881891215,1.218689140661028e-07,1.615433037766221e-07,3.082581333106258e-08,2.382905318440546e-08,2.623117957662826e-09,9.569653924749581e-10,885.8871174545745,1397.464024817197
45.72151898734177,0.006668452974990868,1.225119801652841e-07,1.637458917722249e-07,3.269328795223728e-08,2.5543643192064e-08,2.766609528635751e-09,9.983281958805808e-10,886.297273316402,1414.204378156307
47.89873417721519,0.006874501127331449,1.231783124947485e-07,1.660236932959934e-07,3.460229542027715e-08,2.727503219033831e-08,2.907226639138166e-09,1.038178372470205e-09,886.7195355333488,1430.153064752419
50.07594936708861,0.007070800404920373,1.238666020622546e-07,1.683720297762065e-07,3.654854786789181e-08,2.901865907818267e-08,3.044604902212946e-09,1.076451530393191e-09,887.1532618435384,1445.289390801734
52.25316455696203,0.007257093007900627,1.245755126233081e-07,1.707861394961331e-07,3.852773781759524e-08,3.077002783877641e-08,3.178404380896887e-09,1.113088219961401e-09,887.5977964747672,1459.594029985275
54.43037974683544,0.007433132357507105,1.25303682853453e-07,1.732611853090323e-07,4.053554465271967e-08,3.252471203042777e-08,3.308308053985069e-09,1.14803352980815e-09,888.0524706891533,1473.049029513733
56.60759493670886,0.007598683217920544,1.260497285318547e-07,1.757922623488473e-07,4.256764100964642e-08,3.427835914315846e-08,3.434020453112905e-09,1.181236771303381e-09,888.5166033270631,1485.637815068918
58.78481012658228,0.00775352185550277,1.268122447307722e-07,1.783744057301924e-07,4.461969908815532e-08,3.602669482094851e-08,3.555266451604696e-09,1.212651231895795e-09,888.9895015258426,1497.345194793864
60.96202531645569,0.007897436237187434,1.275898080074164e-07,1.810025982325145e-07,4.668739687742305e-08,3.776552695024057e-08,3.671790187784496e-09,1.242233982247932e-09,889.4704616793443,1508.157362458684
