metric,reference,value,abs_error,rel_error
phi_mid,0.008712093052222794,0.008951261322907808,0.000239168270685014,0.02745244676008056
rho,0.0,0.0,0.0,0.0
power,9851254.808620162,9852466.472531842,1211.6639116797596,0.00012299589597657295
fuel_mid,895.5998349790184,862.3743896484375,33.2254453305809,0.03709853891538433
graphite_mid,1565.339539637374,1528.4031982421875,36.936341395186446,0.023596376670931795
core_inlet,881.040439973759,848.9441528320312,32.09628714172777,0.036429981741455286
core_outlet,908.5780669187411,874.8253784179688,33.752688500772365,0.03714891403359294
hx1_hot_outlet,881.0484277095666,849.3839111328125,31.664516576754068,0.03593958695218525
hx1_cold_outlet,908.6864305481862,873.9306640625,34.755766485686195,0.03824836083963416
hx2_hot_outlet,849.3198598242209,829.4059448242188,19.913915000002135,0.023446896678153282
hx2_cold_outlet,909.5475013649625,872.644775390625,36.9027259743375,0.04057262091200008
brayton_return,865.825008585532,831.5765380859375,34.24847049959453,0.039555880414617564
