schedule_name,state_order,state_id,st_id,op_index,category,category_label,callee,node_text
bop_step_kernel_n200_s1,1,1,1,1,axi_read,AXI-Lite read,,"entry:26 %boundary_out_read = read i64 @_ssdm_op_Read.s_axilite.i64, i64 %boundary_out"
bop_step_kernel_n200_s1,1,1,1,2,axi_read,AXI-Lite read,,"entry:27 %Tsss_HX2_0_read = read i64 @_ssdm_op_Read.s_axilite.double, i64 %Tsss_HX2_0"
bop_step_kernel_n200_s1,1,1,1,3,axi_read,AXI-Lite read,,"entry:28 %Tss_HX2_L_read = read i64 @_ssdm_op_Read.s_axilite.double, i64 %Tss_HX2_L"
bop_step_kernel_n200_s1,1,1,1,4,axi_read,AXI-Lite read,,"entry:29 %Tss_HX1_0_read = read i64 @_ssdm_op_Read.s_axilite.double, i64 %Tss_HX1_0"
bop_step_kernel_n200_s1,1,1,1,5,axi_read,AXI-Lite read,,"entry:30 %Ts_HX1_L_read = read i64 @_ssdm_op_Read.s_axilite.double, i64 %Ts_HX1_L"
bop_step_kernel_n200_s1,1,1,1,6,axi_read,AXI-Lite read,,"entry:31 %params_read = read i64 @_ssdm_op_Read.s_axilite.i64, i64 %params"
bop_step_kernel_n200_s1,1,1,1,7,axi_read,AXI-Lite read,,"entry:32 %state_read = read i64 @_ssdm_op_Read.s_axilite.i64, i64 %state"
bop_step_kernel_n200_s1,2,2,2,1,user_call,User call,bop_step_kernel_impl,"entry:33 %call_ln1138 = call void @bop_step_kernel_impl<200, 1>, i64 %gmem0, i64 %state_read, i64 %gmem1, i64 %params_read, i64 %Ts_HX1_L_read, i64 %Tss_HX1_0_read, i64 %Tss_HX2_L_read, i64 %Tsss_HX2_0_read, i512 %gmem2, i64 %boundary_out_read, i6 %pow_reduce_anonymous_namespace_log_inverse_lut_table_pow_0_5_64_array, i109 %pow_reduce_anonymous_namespace_log0_lut_table_array, i105 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_4_4_16_array, i102 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_7_6_64_array, i97 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_12_6_64_array, i92 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_17_6_64_array, i87 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_22_6_64_array, i82 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_27_6_64_array, i77 %pow_reduce_anonymous_namespace_log_lut_table_ap_fixed_32_6_64_array, i58 %pow_reduce_anonymous_namespace_table_exp_Z1_ap_ufixed_array, i26 %pow_reduce_anonymous_namespace_table_f_Z3_ap_ufixed_array, i42 %pow_reduce_anonymous_namespace_table_f_Z2_ap_ufixed_array"
bop_step_kernel_n200_s1,3,3,3,1,spec_top,SpecTopModule,,"entry:0 %spectopmodule_ln1117 = spectopmodule void @_ssdm_op_SpecTopModule, void @empty_11"
bop_step_kernel_n200_s1,3,3,3,2,spec_interface,SpecInterface,,"entry:1 %specinterface_ln0 = specinterface void @_ssdm_op_SpecInterface, i64 %gmem0, void @empty_21, i32 0, i32 0, void @empty_22, i32 0, i32 0, void @empty, void @empty_0, void @empty_22, i32 16, i32 16, i32 16, i32 16, void @empty_22, void @empty_22, i32 4294967295, i32 0"
bop_step_kernel_n200_s1,3,3,3,3,spec_bits,SpecBitsMap,,"entry:2 %specbitsmap_ln0 = specbitsmap void @_ssdm_op_SpecBitsMap, i64 %gmem0"
