metric,reference,value,abs_error,rel_error
phi_mid,1.205385633512614e-10,0.013834154089211051,0.013834153968672488,114769527.56072247
rho,0.0005,0.0005000000237487257,2.374872564228636e-11,4.749745128457272e-08
power,0.00011960369609394288,15064010.763612727,15064010.763493123,125949374939.55936
fuel_mid,1274203.1447104346,917.945068359375,1273285.1996420752,0.9992795928403018
graphite_mid,38354761.191019885,2027.1871337890625,38352734.003886096,0.999947146401885
core_inlet,343975.2597269561,895.9273071289062,343079.3324198272,0.997395372830476
core_outlet,1963450.534904028,938.3530883789062,1962512.1818156491,0.999522089774253
hx1_hot_outlet,339252.5119599585,896.1229248046875,338356.3890351538,0.9973585370978463
hx1_cold_outlet,2015317.444117599,938.9567260742188,2014378.4873915247,0.999534089912825
hx2_hot_outlet,1157529.4274556243,866.7140502929688,1156662.7134053314,0.9992512379990217
hx2_cold_outlet,2153335.4824633608,937.7244873046875,2152397.757976056,0.9995645246665271
brayton_return,2002524.313331919,891.4323120117188,2001632.8810199073,0.9995548456984632
