simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.079935491276410220e-07,1.221881685896493958e-07,6.149511652159404107e-09,1.303486269098052955e-10,2.418867009288364404e-13,1.462985773026971275e-13
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.000000000000000000e+00,1.081761006289308158e+00,1.079730227601797875e-07,1.220878508537661044e-07,6.118374907875999528e-09,1.305235692899930995e-10,5.906815595882306979e-13,3.482674435166179654e-13
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.000000000000000000e+00,2.163522012578616316e+00,1.080236070707414840e-07,1.221505398181183808e-07,6.105527867724913273e-09,1.318894889195299623e-10,1.039943395550526473e-12,5.991157919355802059e-13
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,3.000000000000000000e+00,3.245283018867924696e+00,1.081479327227688876e-07,1.223820565918378897e-07,6.111486177515067444e-09,1.344426669007837420e-10,1.583528785376061433e-12,8.928241910165690682e-13
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,4.000000000000000000e+00,4.327044025157232632e+00,1.083193012780232641e-07,1.227211430102304575e-07,6.129542124510220741e-09,1.379661959775436660e-10,2.215598569665643047e-12,1.224061943647374722e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,5.000000000000000000e+00,5.408805031446540568e+00,1.085033963577453275e-07,1.230891879304495870e-07,6.151157294291995156e-09,1.421912030069707079e-10,2.930615582188129404e-12,1.588111595534804030e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,6.000000000000000000e+00,6.490566037735849392e+00,1.086786963004659847e-07,1.234369295479057527e-07,6.171000419534692811e-09,1.469460052258929260e-10,3.723330295639920712e-12,1.980797164611500267e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,7.000000000000000000e+00,7.572327044025157328e+00,1.088404187396217396e-07,1.237534458811297120e-07,6.187898657822603717e-09,1.521832754617477487e-10,4.588759112084243414e-12,2.398417213961808885e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,8.000000000000000000e+00,8.654088050314465264e+00,1.089927384543542610e-07,1.240483163842743983e-07,6.202895199171130154e-09,1.579215558376512023e-10,5.522163108851954318e-12,2.837685383914040335e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,9.000000000000000000e+00,9.735849056603774088e+00,1.091404125459679725e-07,1.243324457391020544e-07,6.217172327163868359e-09,1.641833076291887789e-10,6.519030992924363393e-12,3.295679255764320705e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.000000000000000000e+01,1.081761006289308114e+01,1.092853526623683780e-07,1.246102209338145228e-07,6.231205050882085249e-09,1.709698221068609488e-10,7.575065775238666181e-12,3.769796581249988486e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.100000000000000000e+01,1.189937106918238996e+01,1.094272095470272130e-07,1.248808531591004363e-07,6.244908234765231865e-09,1.782656946751414856e-10,8.686173294064370655e-12,4.257717343200498465e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.200000000000000000e+01,1.298113207547169878e+01,1.095650302702095635e-07,1.251421726605558763e-07,6.258047700403166182e-09,1.860510879988460324e-10,9.848451327159327991e-12,4.757370434253983539e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.300000000000000000e+01,1.406289308176100583e+01,1.096982296894730045e-07,1.253928522226491572e-07,6.270480560531332906e-09,1.943088778989933478e-10,1.105817897216753957e-11,5.266904224326995392e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.400000000000000000e+01,1.514465408805031466e+01,1.098266956758529753e-07,1.256326475492901335e-07,6.282180971186661615e-09,2.030254128221220252e-10,1.231180644611170000e-11,5.784660578187540935e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.500000000000000000e+01,1.622641509433962170e+01,1.099505239031464248e-07,1.258617899857456514e-07,6.293174367452853972e-09,2.121885584226630050e-10,1.360594548347936869e-11,6.309151978569874396e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.600000000000000000e+01,1.730817610062893053e+01,1.100697938348579033e-07,1.260804737589606815e-07,6.303482027365713035e-09,2.217860530237428044e-10,1.493736038234218224e-11,6.839041419765553346e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.700000000000000000e+01,1.838993710691823935e+01,1.101845027637614794e-07,1.262887050374670354e-07,6.313104774021522178e-09,2.318050265108828601e-10,1.630295964977549360e-11,7.373124742370171964e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.800000000000000000e+01,1.947169811320754818e+01,1.102945971573937729e-07,1.264863736871207914e-07,6.322030737060891133e-09,2.422322334875304204e-10,1.769978817344284119e-11,7.910315105335110743e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,1.900000000000000000e+01,2.055345911949685345e+01,1.104000178398481538e-07,1.266733566746128063e-07,6.330246525418720338e-09,2.530543877458617794e-10,1.912501986330401950e-11,8.449629329086347177e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.000000000000000000e+01,2.163522012578616227e+01,1.105007211250029237e-07,1.268495664271856764e-07,6.337742451780005856e-09,2.642583204402127395e-10,2.057595072946123001e-11,8.990175880995569880e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.100000000000000000e+01,2.271698113207547109e+01,1.105966781116425995e-07,1.270149492147550160e-07,6.344512358933924468e-09,2.758309781799816813e-10,2.204999237375125171e-11,9.531144305833742742e-12
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.200000000000000000e+01,2.379874213836477992e+01,1.106878668800953384e-07,1.271694672862917814e-07,6.350551690761917341e-09,2.877593689262600417e-10,2.354466587487894701e-11,1.007179592872669991e-11
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.300000000000000000e+01,2.488050314465408874e+01,1.107742672643385736e-07,1.273130868978591237e-07,6.355856197966392635e-09,3.000305265375406360e-10,2.505759604559404379e-11,1.061145567854100069e-11
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.400000000000000000e+01,2.596226415094339757e+01,1.108558599275997846e-07,1.274457761873144772e-07,6.360421706118120599e-09,3.126315067230826861e-10,2.658650603961389086e-11,1.114950489731109766e-11
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.500000000000000000e+01,2.704402515723270284e+01,1.109326275999049456e-07,1.275675079962418040e-07,6.364244417847349082e-09,3.255493988339673753e-10,2.812921228663037505e-11,1.168537501713015881e-11
7.870000000000000000e+02,1.280000000000000000e+03,1.280000000000000000e+02,2.600000000000000000e+01,2.812578616352201166e+01,1.110045563576781886e-07,1.276782627885754558e-07,6.367321225823567765e-09,3.387713380089861222e-10,2.968361973519367883e-11,1.221854200010290735e-11
