simulation_index,step,time,point_index,z,C1,C2,C3,C4,C5,C6
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.127096254937351585e-07,1.324857201430598441e-07,7.377785840010464346e-09,2.660124703598028209e-10,1.742803673158749015e-11,1.054086640716255777e-11
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+00,1.081761006289308158e+00,1.126793354373416894e-07,1.324050934027151377e-07,7.457147079550855258e-09,4.089344574757841919e-10,4.256433321393515642e-11,2.509544899841229698e-11
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.000000000000000000e+00,2.163522012578616316e+00,1.126645365550493160e-07,1.323780174176711834e-07,7.580657212581364278e-09,5.984889500452812569e-10,7.495360524348545086e-11,4.317882619850280383e-11
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,3.000000000000000000e+00,3.245283018867924696e+00,1.126652050428920139e-07,1.324043326889484741e-07,7.747911375469807569e-09,8.337839454689746863e-10,1.141627808948107431e-10,6.436142199986118043e-11
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,4.000000000000000000e+00,4.327044025157232632e+00,1.126813521447887892e-07,1.324839517276080693e-07,7.958497177765058096e-09,1.113920261545861532e-09,1.597797671645801628e-10,8.826246408188518227e-11
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,5.000000000000000000e+00,5.408805031446540568e+00,1.127131037250217700e-07,1.326170402665777742e-07,8.212012618826759842e-09,1.437990433672695327e-09,2.114121343718910985e-10,1.145441844323744384e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,6.000000000000000000e+00,6.490566037735849392e+00,1.127608638744820217e-07,1.328043890767743359e-07,8.508101355235255080e-09,1.805074865402656956e-09,2.686855987586096502e-10,1.429066613125470463e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,7.000000000000000000e+00,7.572327044025157328e+00,1.128255831589685528e-07,1.330480220698546368e-07,8.846507602275760754e-09,2.214232715330345653e-09,3.312421036263446403e-10,1.730831975300418678e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,8.000000000000000000e+00,8.654088050314465264e+00,1.129091000498743067e-07,1.333519669381214387e-07,9.227139675234950670e-09,2.664484294589383914e-09,3.987372791894279248e-10,2.048361355872419208e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,9.000000000000000000e+00,9.735849056603774088e+00,1.130144413277342861e-07,1.337229257175535371e-07,9.650111816870601337e-09,3.154782267651310108e-09,4.708371581820039043e-10,2.379530340195990847e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.000000000000000000e+01,1.081761006289308114e+01,1.131458940348043973e-07,1.341704167436448634e-07,1.011571899514582208e-08,3.683971445210976316e-09,5.472142686225281914e-10,2.722431743087989483e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.100000000000000000e+01,1.189937106918238996e+01,1.133086578107716642e-07,1.347059534831666284e-07,1.062430315236742522e-08,4.250741377799164479e-09,6.275435712312588244e-10,3.075344255048346725e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.200000000000000000e+01,1.298113207547169878e+01,1.135079925315725300e-07,1.353410711466070964e-07,1.117600026702300597e-08,4.853581009755683371e-09,7.114990269361956941e-10,3.436705434049753987e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.300000000000000000e+01,1.406289308176100583e+01,1.137479734703462537e-07,1.360844649215151535e-07,1.177040866897898839e-08,5.490748087291402314e-09,7.987517043805481204e-10,3.805089980654197659e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.400000000000000000e+01,1.514465408805031466e+01,1.140301714065539185e-07,1.369389724123866035e-07,1.240626798726602575e-08,6.160265673919348225e-09,8.889701547669415004e-10,4.179193922621930940e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.500000000000000000e+01,1.622641509433962170e+01,1.143526806326361984e-07,1.378993710429372965e-07,1.308125818697575941e-08,6.859953205652869444e-09,9.818233035099788478e-10,4.557824590660835686e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.600000000000000000e+01,1.730817610062893053e+01,1.147098552098455731e-07,1.389518131215723053e-07,1.379200424107394121e-08,7.587491234064346280e-09,1.076985482821038419e-09,4.939895342077266821e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.700000000000000000e+01,1.838993710691823935e+01,1.150928975445458952e-07,1.400752217465049028e-07,1.453431061599050410e-08,8.340510191521725705e-09,1.174142677269165558e-09,5.324423231725801733e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.800000000000000000e+01,1.947169811320754818e+01,1.154911650014839501e-07,1.412443310391002059e-07,1.530357634289364739e-08,9.116687330663907336e-09,1.272998768019608793e-09,5.710527522427416766e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,1.900000000000000000e+01,2.055345911949685345e+01,1.158938383801200111e-07,1.424335464752385397e-07,1.609528666952540223e-08,9.913834491048127816e-09,1.373280622398593105e-09,6.097427165319080983e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.000000000000000000e+01,2.163522012578616227e+01,1.162915148374058791e-07,1.436206177345666651e-07,1.690546147280230944e-08,1.072996266697778907e-08,1.474741231158787721e-09,6.484436049302355021e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.100000000000000000e+01,2.271698113207547109e+01,1.166773610912904110e-07,1.447892880706294712e-07,1.773096530632219000e-08,1.156331588097553461e-08,1.577160599262004291e-09,6.870955666146754030e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.200000000000000000e+01,2.379874213836477992e+01,1.170476389370712929e-07,1.459304913513084946e-07,1.856963410943821452e-08,1.241237415724717243e-08,1.680344578003543283e-09,7.256465594926631962e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.300000000000000000e+01,2.488050314465408874e+01,1.174016126140804937e-07,1.470421226954698148e-07,1.942022723380044360e-08,1.327583123497674823e-08,1.784122161430615635e-09,7.640512691622099015e-10
7.860000000000000000e+02,3.200000000000000000e+02,3.200000000000000000e+01,2.400000000000000000e+01,2.596226415094339757e+01,1.177409956830071383e-07,1.481277487912296759e-07,2.028225228654611108e-08,1.415255584100438530e-08,1.888341908931030921e-09,8.022700020380990604e-10
