metric,value,reference,abs_error,rel_error
power_W,9853054.760413809,9853134.883720934,80.1233071256429,8.131757869063613e-06
phi_mid,0.008951333713554884,0.008951406504221637,7.279066675282275e-08,8.131757475039641e-06
fuel_mid_K,861.5936230473591,861.632207066486,0.038584019126915337,4.478014959338455e-05
graphite_mid_K,1527.5253061471656,1527.5253124014748,6.254309255382395e-06,4.094406295336463e-09
Ts_core_outlet_K,874.066457740059,874.0664630762027,5.3361436584964395e-06,6.104963276724215e-09
Ts_HX1_0_K,848.590379970532,848.591108381633,0.000728411101022175,8.583770131781654e-07
Tss_HX1_L_K,873.1998505670691,873.2093923599097,0.0095417928405368,1.0927267759625713e-05
Tss_HX2_0_K,829.1621068378353,829.1641261893568,0.0020193515215396474,2.435406281769704e-06
Tsss_HX2_L_K,872.0614210681749,872.0673803922954,0.005959324120453857,6.8335592575118264e-06
Tsss_pp_0_K,831.3997415321055,831.0781869221415,0.32155460996398233,0.0003869125853908457
